drug_name,serious,seriousnessdeath,num_reactions
2 other unknown medications,2,0,5.0
3tc,1,0,6.0
5% sodium chloride injection,2,0,3.0
5-fluorouracil,4,0,3.0
70% dextrose injection usp,2,0,3.0
abatacept subq injection 125mg/ml,1,1,1.0
abilify,5,0,5.25
abraxane,2,0,1.0
acenocoumarol,1,0,3.0
acetaminophen,14,13,1.1428571428571428
acetaminophen.,2,0,2.0
acetylcysteine.,2,0,2.0
acetylsalicylic acid,1,0,4.0
aciphex,2,0,9.5
aclasta,22,12,3.0
aclasta/zoledronate,2,0,1.0
acth,2,0,3.0
actonel,1,0,3.0
acyclovir,2,2,4.5
acyclovir                          /00587301/,2,0,7.0
acz885,1,1,2.0
adalat,2,0,1.0
adalat cc,1,0,1.0
adcal d3,1,0,4.0
adcirca,12,0,1.8571428571428572
adderall,2,0,4.0
adiro 100,1,0,1.0
adriamycin,1,0,9.0
advair,5,0,1.0
advair hfa,3,0,1.0
advil,3,0,11.0
advil cold,1,0,8.0
afinitor,2,1,1.5
afrin no drip,2,0,1.0
akineton,1,0,19.0
aktiferrin,1,0,7.0
albuterol,4,0,3.0
albuterol                          /00139501/,4,0,2.5
albuterol hfa,2,0,1.0
aldactone,1,0,1.0
aldactone                          /00006201/,2,0,9.0
aldactone (canrenoate potassium),1,0,1.0
aldactone a,1,0,1.0
alendronate,2,0,2.0
alendronate sodium.,1,0,10.0
alendronic acid,3,0,4.666666666666667
aleve,2,0,2.0
all other therapeutic products,1,0,16.0
allegra,2,0,3.0
allegra allergy,2,0,2.0
allergy tab,2,0,6.0
allopurinol,18,1,4.666666666666667
allopurinol.,4,0,6.0
allopurinolo,1,0,13.0
alprazolam,5,0,2.3333333333333335
alvedon,1,0,1.0
amaril,1,0,2.0
ambien,7,0,3.8
ambilify,2,0,1.0
ambrisentan,2,1,1.0
amias,1,0,1.0
amikacin,1,0,14.0
amiloride,2,0,2.0
amiodarone,2,0,5.0
amiodarone hcl,1,0,2.0
amisulpride,1,0,3.0
amitriptyline,6,0,6.5
amlodin,1,0,1.0
amlodipin//amlodipine,1,1,2.0
amlodipine,12,0,3.3333333333333335
amlodipine benazepril,2,0,1.0
amlodipine besylate,1,0,4.0
amn107,7,0,1.75
amoxicillin,3,0,9.0
amoxicillin+clavulanate,1,0,3.0
amoxicillin/clavulanic acid,1,0,2.0
amoxycillin,1,0,1.0
ampyra,6,0,7.166666666666667
anafranil,2,0,4.0
analgetic drug,1,0,2.0
angios (calcium),1,0,7.0
anti tuberculosis drug (not specified),1,0,4.0
antibiotics,4,0,1.25
antiepileptics,1,0,3.0
antiflat,1,0,7.0
antihistamines,2,0,1.0
antihypertensives,2,0,2.0
"antioxident multiple vitamins (a,d,e,k-intensive) and minerals",2,0,1.0
apexicon,2,0,2.0
apidra,1,0,10.0
appearex,2,0,1.0
apriso,1,0,7.0
aranesp,2,0,4.0
arestal,1,0,1.0
aripiprazole,1,0,3.0
arkolamyl,1,0,2.0
armour thyroid,1,0,1.0
artist,2,0,1.0
asa,3,0,7.0
asacol,1,0,1.0
asmanex twisthaler,4,0,5.0
aspercreme,1,0,1.0
aspirin,29,1,2.6842105263157894
aspirin low ec,1,0,2.0
aspirin.,10,0,5.0
aspirine,1,0,3.0
ass,2,0,2.0
atacand,1,0,2.0
atarax,2,0,10.0
atarax /can/,1,0,1.0
atelec,1,0,4.0
atenolol,7,1,3.8
atenolol.,3,0,6.0
ativan,2,0,14.0
atorvastatin,8,1,4.0
atorvastatin                       /01326102/,1,0,2.0
aubagio,7,0,7.285714285714286
augmentin,3,0,1.3333333333333333
augmentin xr,2,0,1.0
avadart,2,0,1.0
avastin,1,1,1.0
avlocardyl,1,0,1.0
axeler,1,0,1.0
azacitidine injectable,4,0,7.0
azathioprine,3,2,3.6666666666666665
azilect,4,0,4.666666666666667
azithromycin,2,0,2.0
aztreonam,2,0,1.0
b-12,2,0,1.0
b12,4,0,11.0
baby aspirin,3,0,2.5
baclofen,1,0,3.0
baclofen.,1,0,10.0
bactrim,2,0,1.0
baktar,1,0,2.0
banzel,1,0,1.0
bayaspirin,1,0,4.0
beclospin,1,0,2.0
belimumab,1,1,1.0
benadryl                           /00000402/,2,0,1.0
benazepril,2,0,1.0
bendamustine,1,0,2.0
benicar,4,0,6.0
benicar hct,2,0,9.0
benlysta,2,0,3.5
bentyl,1,0,1.0
benzodiazepines,1,0,20.0
benzonatate,5,0,5.666666666666667
benzonatate.,3,0,3.0
beraprost,1,1,7.0
berinert,1,0,5.0
berlthyrox,1,0,1.0
betaseron,1,1,4.0
beyaz,1,0,10.0
biaxin,2,0,1.0
bibw 2992,2,0,13.0
bifidobacterium,1,0,1.0
biotin,1,0,10.0
bisoce,1,0,2.0
bisoprolol,9,0,2.0
bisphosphonates,2,0,1.0
blinded aliskiren,1,0,1.0
blinded enalapril,1,0,1.0
blinded no treatment received,1,0,1.0
blinded: pertuzumab,1,1,3.0
blinded: placebo,1,1,3.0
blood pressure medication,1,0,3.0
boniva,1,0,4.0
bosentan,1,1,7.0
budesonide,2,0,10.0
bumetanide,1,0,1.0
bupropion,3,0,2.5
buspar,3,0,9.5
buspirone,1,0,2.0
busulfan,2,2,4.5
busulfex,1,1,15.0
"butalbital, acetaminophen, and caffeine",1,0,4.0
ca gluconate,2,0,3.0
calcichew d3,2,1,3.0
calciless,1,0,1.0
calcineurin inhibitors,1,1,15.0
calciparine,1,0,4.0
calcium,18,0,4.25
calcium  supplement                          /00060701/,2,0,2.0
calcium 600 + d,2,0,1.0
calcium [calcium],1,0,10.0
calcium carbonate,1,1,1.0
calcium carbonate- vitamin d,1,0,12.0
calcium carbonate.,3,0,7.5
calcium with vitamin d,2,0,1.0
calcium with vitamin d             /00944201/,1,0,12.0
campath,1,1,1.0
candio hermal,1,0,7.0
canesten (kainiting),1,0,3.0
captopril sandoz,1,0,5.0
carbamazepine,4,0,7.25
carbidopa and levodopa,3,0,5.5
carbidopa/levodopa,2,0,5.0
cardicor,1,0,1.0
cardioaspirin,2,0,3.5
cardizem,1,0,16.0
carmellose,2,0,7.0
carvedilol,1,0,1.0
carvedilol.,2,0,1.5
casodex,8,0,2.0
catapres,1,0,1.0
ceclor,2,0,1.0
cefmetazole,1,0,3.0
ceftriaxone,6,0,4.333333333333333
cefuroxime,2,0,1.0
celebrex,9,0,4.0
celecox,1,0,4.0
celexa,5,1,2.3333333333333335
celexa                             /00582602/,1,0,3.0
centrum,2,0,1.0
centrum silver                     /02363801/,1,0,2.0
cephalexin,2,0,2.0
cephalexin                         /00145501/,1,0,15.0
certican,1,0,6.0
cetirizine,2,0,10.0
cetirizine                         /00884302/,1,0,15.0
cetuximab,1,0,3.0
champix,2,0,4.0
chantix,4,0,1.0
chinese medicine,1,0,2.0
cholecalciferol,2,0,2.0
ciclosporin,3,2,5.0
cimetidine,1,0,15.0
cinryze (c1 esterase inhibitor (human)),2,0,5.0
ciprodex                           /00697202/,2,0,2.0
ciprofloxacin.,1,0,15.0
cisordinol,1,0,19.0
cisplatin,4,3,4.0
cisplatin (unknown),1,0,1.0
cisplatin for inj,2,0,17.0
citalopram,7,0,3.6666666666666665
citalopram (unknown),2,0,1.0
citalopram hydrobromide.,1,0,2.0
citalopram oral solution,1,0,3.0
clarithromycin,1,0,3.0
claritin chewable tablets,112,0,1.0357142857142858
claritin reditabs,2,0,1.0
clavulin,1,0,3.0
clexane,1,0,1.0
clindamycin,1,0,14.0
clobetasol proprionate,1,0,3.0
clomipramine,2,0,3.0
clonazepam,10,1,2.857142857142857
clonazepam.,2,0,3.5
clonidine,2,0,1.0
clopidix,1,0,1.0
clorana,1,0,11.0
clotrimazole,1,0,6.0
clozapine,10,0,7.571428571428571
clozaril,11,0,3.5454545454545454
codeine,2,0,1.0
cogentin,6,0,1.5
colchicine,2,0,5.0
colchicine.,4,0,2.3333333333333335
