drug_name,boxed_warning,contraindications_len,indications_len,manufacturer
silicea,0,0,10,"Rxhomeo Private Limited d.b.a. Rxhomeo, Inc"
,0,0,16,Unknown
povidone-iodine,0,0,12,"Atlantis Consumer Healthcare, Inc."
,0,0,4,Unknown
,0,30,26,Unknown
naproxen,1,146,131,A-S Medication Solutions
,0,0,21,Unknown
benzalkonium chloride,0,0,9,Walmart Inc.
,0,0,11,Unknown
,0,0,59,Unknown
salicylic acid,0,0,6,Equate
cuprum aceticum nicotiana,0,0,5,Uriel Pharmacy Inc.
trametinib,0,7,679,Novartis Pharmaceuticals Corporation
,0,18,1218,Unknown
glimepiride,0,84,103,American Health Packaging
,1,207,514,Unknown
methocarbamol,0,18,58,Proficient Rx LP
hydrocortisone,0,0,63,"Meijer, Inc."
"levothyroxine, liothyronine",1,49,129,"Acella Pharmaceuticals, LLC"
varenicline,0,35,40,Aurobindo Pharma Limited
,0,0,21,Unknown
,0,0,35,Unknown
"helianthemum nummularium flower, clematis vitalba flower, impatiens glandulifera flower, prunus cerasifera flower, ornithogalum umbellatum, and aesculus hippocastanum flower",0,0,12,"Nelson Bach USA, Ltd."
acetaminophen,0,0,28,Valu Merchandisers Company
,0,0,12,Unknown
,0,0,25,Unknown
,1,71,236,Unknown
,0,0,31,Unknown
glycerin,0,0,50,"OASIS Medical, Inc."
,0,56,126,Unknown
polymyxin b sulfate and trimethoprim sulfate,0,1,3,A-S Medication Solutions
,0,17,81,Unknown
"benzocaine, resorcinol",0,0,4,"FOURSTAR GROUP USA, INC."
,0,0,15,Unknown
,0,29,97,Unknown
,0,0,5,Unknown
,1,18,338,Unknown
,0,0,14,Unknown
,0,0,4,Unknown
,0,0,11,Unknown
aluminum chlorohydrate,0,0,4,"Sodalis USA, LLC"
betamethasone dipropionate,0,36,64,"Taro Pharmaceuticals U.S.A., Inc."
,0,0,15,Unknown
,1,72,68,Unknown
povidone-iodine,0,0,4,"Lights Medical Manufacture Co., Ltd."
calcium acetate,0,9,46,"Cipla USA Inc.,"
,0,0,5,Unknown
,0,0,8,Unknown
,0,0,20,Unknown
sacubitril and valsartan,1,112,192,Novartis Pharmaceuticals Corporation
,1,77,280,Unknown
,0,0,19,Unknown
,0,63,87,Unknown
,0,0,27,Unknown
,0,0,4,Unknown
petrolatum and lanolin,0,0,28,"ABBE Laboratories, Inc."
