drug_name,recall_initiation_date,reason_for_recall,status,recalled
progesterone 100 mg,20150903,Lack of Assurance of Sterility:  A recall of all compounded sterile preparations within expiry is being initiated due to observations associated with poor sterile production practices resulting in a lack of sterility assurance for their finished drugs.,Terminated,1
assured instant hand sanitizer aloe,20200730,CGMP Deviations: Next Advanced Antibacterial Hand Sanitizer was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,Ongoing,1
dextroamphetamine saccharate,20200522,Some bottles may contain mixed strengths of the product.,Terminated,1
no drip nasal spray,20211026,CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,Terminated,1
2 mcg,20160505,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,Terminated,1
viracept,20140708,Labeling: Incorrect or missing lot and or Exp Date: The bottles were labeled with an incorrect expiry date 11/2016.  The correct expiry date is 09/2016.,Terminated,1
little moon essentials,20240620,CGMP deviations,Ongoing,1
trimix qm10 papaverine 30 mg,20180910,Lack of Assurance of Sterility,Terminated,1
ifosfamide injection 3g,20130913,Temperature abuse: Certain vials of Ifosfamide IV products were not refrigerated at certain Amerisource Bergen Drug Corp distribution centers.,Terminated,1
amantadine hcl capsules,20170619,"Labeling; Label Mix up; cartons labeled as Amantadine HCl 100 mg Capsules contain unit dose blister cards of Cyclobenzaprine HCl Tablet, USP 5 mg",Terminated,1
edarbi,20210315,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,1
hcg 1,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
carisoprodol tablets,20131107,"Presence of Foreign Substance; heavy metals (chromium, titanium etc) and inactive components of the product were visually observed during routine stability testing",Terminated,1
enoxaparin sodium injection,20220126,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,Terminated,1
levothyroxine and liothyronine,20180803,"Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.",Terminated,1
human chorionic gonadotropin 6,20171116,Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,Terminated,1
hydromorphone,20221227,Lack of sterility assurance,Completed,1
testosterone 20 mg,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
famotidine tablet,20130702,"Labeling: Label Mixup; FAMOTIDINE Tablet, 20 mg may be potentially mislabeled as    CARVEDILOL PHOSPHATE ER, Capsule, 20 mg, NDC 00007337113, Pedigree: W003225, EXP: 6/17/2014;  DULoxetine HCl DR, Capsule, 20 mg, NDC 00002323560, Pedigree: W003506, EXP: 6/21/2014;  FAMOTIDINE, Tablet, 20 mg, NDC 16714036104, Pedigree: W003507, EXP: 6/21/2014;  MYCOPHENOLATE MOFETIL, Capsule, 250 mg, NDC 0037822500",Terminated,1
ling zhi capsules,20180119,"Marketed Without An Approved NDA/ANDA: Flawless Beauty, LLC is voluntarily recalling all lots of different products sold individually or as part of multi-unit kits in accordance with Consent Decree of Permanent Injunction ordered by the United States District Court due to misbranding and unapproved new drugs pursuant to the FD&C Act.",Terminated,1
alprazolam c-iv,20230322,CGMP Deviations: Repackaging firm recalling due to potential product cross contamination concerns at the manufacturer.,Ongoing,1
nizatidine oral solution,20200415,CGMP Deviations: potential N-Nitrosodimethylamine (NDMA) amounts above levels established by the FDA.,Terminated,1
excedrin migraine,20130606,Defective container: products are packaged in pouches which may not have been fully sealed,Terminated,1
homatropine methylbromide active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
skinguard 24 all-day hand sanitizer 8 oz,20200814,Marketed without an Approved NDA/ANDA; product labeled to contain 0.56% methanol making it an unapproved new drug,Terminated,1
human chorionic gonadotropin 5,20190523,Lack of Sterility Assurance.,Terminated,1
medroxyprogesterone acetate 300 mg,20221007,Lack of Assurance of Sterility: FDA inspection found the recalled products were produced in a manner than cannot guarantee the sterility of the products purported to be sterile.,Ongoing,1
unguentine original maximum strength pain relieving,20230224,CGMP DEVIATIONS,Terminated,1
nortrel,20240125,Discoloration: discolored tablets (shades of blue) mixed in with the white inert remainder tablets.,Ongoing,1
methyl folate calcium active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
haloperidol decanoate injection 50mg,20250321,Lack of Assurance of Sterility: Media fill with bacterial contamination,Ongoing,1
polyoxyl lauryl ether,20200115,Lack of Assurance of Sterility,Terminated,1
losartan potassium 50 mg tablet bulk  90 count bottles and 1000 count bottles,20190606,CGMP Deviations: impurity for N-Nitroso-N-methyl-4-aminobutyric acid (NMBA) detected in the active pharmaceutical ingredient (API) used to manufacture finished products.,Ongoing,1
benzocaine 20,20171116,Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,Terminated,1
cabtreo,20240212,CGMP Deviations: Product was stored outside labeled storage temperature requirements. Product was exposed to controlled room temperature environment instead of remaining refrigerated.,Terminated,1
glycopyrrolate in all strengths,20171227,Lack of sterility assurance.,Terminated,1
phenylephrine 40 mg in 0,20170714,Lack of Assurance of Sterility; product has the potential to leak.,Terminated,1
xigduo xr,20210315,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,1
cvs health redness relief lubricant redness reliever eye drops,20190702,Lack of Assurance of Sterility,Completed,1
apap 500 mg tablet,20220126,CGMP Deviations,Terminated,1
progesterone 50 mg,20130320,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Terminated,1
tremfya,20210309,Temperature Abuse,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
desmopressin acetate tablets,20150626,Tablets/Capsules Imprinted with Wrong ID: Some tablets incorrectly imprinted with an X on one side.,Terminated,1
zarxio 300 mcg,20180403,Lack of Processing Controls.,Terminated,1
morphine sulfate extended-release tablets,20190410,Failed Impurities/Degradation Specifications,Terminated,1
qp cough cold tablet 16 ct distributed to specific family dollar stores 04,20220623,CGMP Deviations: product held outside appropriate storage temperature conditions.,Ongoing,1
ambi 2cpm,20130130,CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,Terminated,1
phentermine hydrochloride capsules,20150714,Failed Impurities/Degradation Specifications: out-of-specification results for individual unknown and total impurity at the 12th month room temperature stability test station,Terminated,1
